Title,IMDB rating,IMDB votes,Genres,Audience Score,Critic Score,Critics Reviews,Audience Reviews,Streaming Platforms
Wrong Turn,6.1,131591,"Horror, Thriller",54%,40%,82 Reviews,"100,000+ Ratings",
Final Destination,6.7,279669,"Horror, Thriller",68%,36%,97 Reviews,"250,000+ Ratings","vudu, amazon-prime-video-us"
Terrifier 2,6.1,46856,Horror,80%,86%,78 Reviews,500+ Verified Ratings,"peacock, vudu, amazon-prime-video-us"
Project Wolf Hunting,6,6849,"Action, Crime, Horror, Sci-Fi",66%,88%,49 Reviews,100+ Ratings,
Old,5.8,160852,"Drama, Horror, Mystery, Thriller",53%,50%,344 Reviews,"1,000+ Verified Ratings","vudu, amazon-prime-video-us"
Wrong Turn 4: Bloody Beginnings,4.5,27999,"Adventure, Horror",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Ouija,4.5,56970,"Horror, Mystery, Thriller",44%,,Reviews,100+ Ratings,
The Hunger Games,7.2,1004130,"Action, Adventure, Sci-Fi, Thriller",81%,84%,318 Reviews,"250,000+ Ratings","fandango, vudu, amazon-prime-video-us, netflix"
Poltergeist,7.3,179667,"Horror, Thriller",79%,88%,76 Reviews,"100,000+ Ratings","fandango, vudu, amazon-prime-video-us"
The Grudge,5.9,150902,"Horror, Mystery, Thriller",46%,41%,164 Reviews,"250,000+ Ratings",
Abraham Lincoln: Vampire Hunter,5.9,161687,"Action, Fantasy, Horror",50%,34%,193 Reviews,"100,000+ Ratings","vudu, amazon-prime-video-us"
Insidious: The Red Door,5.5,50723,"Horror, Mystery, Thriller",70%,38%,116 Reviews,"1,000+ Verified Ratings","vudu, amazon-prime-video-us, netflix"
Knock at the Cabin,6.1,115539,"Horror, Mystery, Thriller",63%,67%,334 Reviews,"1,000+ Verified Ratings","vudu, amazon-prime-video-us"
Bram Stoker's Dracula,7.4,238553,"Fantasy, Horror, Romance",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
The Grudge,5.9,150902,"Horror, Mystery, Thriller",46%,41%,164 Reviews,"250,000+ Ratings",
Fear,6.2,54925,"Drama, Thriller",40%,,Reviews,Fewer than 50 Ratings,
Pandorum,6.7,159587,"Action, Horror, Mystery, Sci-Fi, Thriller",49%,29%,90 Reviews,"100,000+ Ratings","vudu, amazon-prime-video-us"
Wishmaster,5.8,25429,"Fantasy, Horror",39%,25%,32 Reviews,"25,000+ Ratings","vudu, amazon-prime-video-us"
Aliens vs. Predator: Requiem,4.6,133214,"Action, Horror, Sci-Fi, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Humane,5.3,1612,"Horror, Thriller",38%,68%,41 Reviews,Fewer than 50 Ratings,"fandango, vudu, amazon-prime-video-us"
Annihilation,6.8,361813,"Adventure, Drama, Horror, Mystery, Sci-Fi, Thriller",67%,88%,331 Reviews,"10,000+ Ratings","vudu, amazon-prime-video-us, paramount-plus-us"
Possessor,6.5,45846,"Horror, Mystery, Sci-Fi, Thriller",59%,94%,224 Reviews,50+ Verified Ratings,"vudu, amazon-prime-video-us"
Don't Breathe,7.1,300730,"Crime, Horror, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Monsternado,2.6,258,"Action, Horror",50%,,Reviews,Fewer than 50 Ratings,"vudu, amazon-prime-video-us"
Hostel,5.9,191050,Horror,53%,59%,109 Reviews,"250,000+ Ratings","vudu, amazon-prime-video-us"
Gremlins,7.3,247925,"Comedy, Fantasy, Horror",78%,86%,80 Reviews,"250,000+ Ratings","fandango, vudu, amazon-prime-video-us"
Anacondas: The Hunt for the Blood Orchid,4.7,33879,"Action, Adventure, Horror, Thriller",27%,26%,121 Reviews,"250,000+ Ratings","vudu, amazon-prime-video-us"
Slash/Back,5.7,1947,"Adventure, Horror, Sci-Fi",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
The Lord of the Rings: The Fellowship of the Ring,8.9,2008130,"Action, Adventure, Drama, Fantasy",95%,91%,235 Reviews,"250,000+ Ratings","fandango, vudu, amazon-prime-video-us, max-us"
Suspiria,6.7,92374,"Drama, Fantasy, Horror, Mystery, Thriller",72%,65%,334 Reviews,"2,500+ Ratings","vudu, amazon-prime-video-us"
Dawn of the Dead,7.3,272585,"Action, Horror",77%,76%,195 Reviews,"250,000+ Ratings","fandango, vudu, amazon-prime-video-us"
The Loch Ness Horror,2.3,257,"Action, Horror, Sci-Fi, Thriller",14%,,Reviews,Fewer than 50 Ratings,
The Exorcism of Emily Rose,6.7,140101,"Drama, Horror, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
The Evil Dead,7.4,232489,Horror,84%,86%,84 Reviews,"100,000+ Ratings","fandango, vudu, amazon-prime-video-us"
Prey for the Devil,5.3,17601,"Horror, Mystery, Thriller",69%,17%,36 Reviews,250+ Verified Ratings,"vudu, amazon-prime-video-us"
Antichrist,6.5,136585,"Drama, Horror, Thriller",34%,0%,5 Reviews,250+ Ratings,
No One Will Save You,6.3,65379,"Horror, Sci-Fi, Thriller",56%,82%,119 Reviews,"1,000+ Ratings",hulu
I Saw the TV Glow,6.4,452,"Drama, Horror",,88%,73 Reviews,,
It Follows,6.8,269179,"Horror, Mystery, Thriller",66%,95%,270 Reviews,"25,000+ Ratings","fandango, vudu, amazon-prime-video-us, netflix"
Haunting on Fraternity Row,3.8,1198,"Horror, Mystery, Thriller",29%,,Reviews,Fewer than 50 Ratings,"vudu, amazon-prime-video-us"
The Quantum Devil,3.5,356,Horror,,,Reviews,,vudu
Sweeney Todd: The Demon Barber of Fleet Street,7.3,387025,"Drama, Horror, Musical, Thriller",100%,,Reviews,Fewer than 50 Ratings,amazon-prime-video-us
Fantasy Island,4.9,58093,"Fantasy, Horror, Mystery",82%,,Reviews,Fewer than 50 Ratings,
Shaun of the Dead,7.9,594245,"Comedy, Horror",93%,92%,219 Reviews,"250,000+ Ratings","vudu, amazon-prime-video-us"
Cobweb,5.9,31973,"Horror, Mystery, Thriller",49%,75%,8 Reviews,250+ Ratings,amazon-prime-video-us
A Nightmare on Elm Street 2: Freddy's Revenge,5.4,77483,Horror,Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Underworld: Awakening,6.3,161270,"Action, Fantasy, Thriller",62%,25%,77 Reviews,"50,000+ Ratings","vudu, amazon-prime-video-us"
Deep Red,7.5,42668,"Horror, Mystery, Thriller",29%,,Reviews,100+ Ratings,
Rabid,6.3,21399,"Horror, Sci-Fi",46%,78%,27 Reviews,"5,000+ Ratings","peacock, vudu, amazon-prime-video-us"
Pumpkinhead,6.2,27843,"Fantasy, Horror",49%,65%,23 Reviews,"10,000+ Ratings","vudu, amazon-prime-video-us"
Insidious: Chapter 3,6.1,118657,"Horror, Mystery, Thriller",51%,56%,128 Reviews,"25,000+ Ratings","vudu, amazon-prime-video-us, max-us"
Blade II,6.7,234513,"Action, Horror, Sci-Fi, Thriller",68%,57%,150 Reviews,"250,000+ Ratings","vudu, amazon-prime-video-us"
Ju-on: The Grudge,6.7,48101,Horror,Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
The Exorcism of God,5.3,5080,"Drama, Horror",,57%,14 Reviews,,"vudu, amazon-prime-video-us"
Maximum Overdrive,5.4,35863,"Action, Comedy, Horror, Sci-Fi",50%,14%,14 Reviews,"25,000+ Ratings","vudu, amazon-prime-video-us"
A Quiet Place: Day One,,,"Drama, Horror, Sci-Fi, Thriller",,,Reviews,,
Nun in Rope Hell,4.7,203,"Drama, Horror",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Death Whisperer,5.9,1297,Horror,50%,,Reviews,Fewer than 50 Ratings,netflix
Crimson Peak,6.5,158337,"Drama, Horror, Mystery, Romance, Thriller",56%,73%,284 Reviews,"25,000+ Ratings","vudu, amazon-prime-video-us"
A Nightmare on Elm Street,7.4,262641,Horror,84%,95%,58 Reviews,"250,000+ Ratings","fandango, vudu, amazon-prime-video-us, netflix"
Carrie,7.4,206780,"Horror, Mystery",44%,50%,185 Reviews,"50,000+ Ratings","vudu, amazon-prime-video-us, max-us"
3 from Hell,5.4,17927,"Action, Horror",55%,57%,37 Reviews,500+ Ratings,"vudu, amazon-prime-video-us"
Saw 3D,5.5,109732,"Horror, Mystery",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Brotherhood of the Wolf,7,71503,"Action, Adventure, Drama, Horror, Thriller",78%,73%,131 Reviews,"25,000+ Ratings","vudu, amazon-prime-video-us"
28 Days Later,7.5,446079,"Drama, Horror, Sci-Fi, Thriller",85%,87%,236 Reviews,"250,000+ Ratings",
Halloween 5: The Revenge of Michael Myers,4.9,47094,"Horror, Thriller",36%,12%,26 Reviews,"50,000+ Ratings","fandango, vudu, amazon-prime-video-us"
Zombie,6.8,30745,Horror,69%,41%,27 Reviews,"10,000+ Ratings",amazon-prime-video-us
Flatliners,6.5,93475,"Drama, Horror, Sci-Fi, Thriller",59%,50%,54 Reviews,"50,000+ Ratings","vudu, amazon-prime-video-us, paramount-plus-us"
Insidious,6.8,339164,"Horror, Mystery, Thriller",62%,67%,177 Reviews,"100,000+ Ratings","vudu, amazon-prime-video-us, netflix"
The Autopsy of Jane Doe,6.8,139422,"Horror, Mystery, Thriller",71%,86%,109 Reviews,"10,000+ Ratings","vudu, amazon-prime-video-us, hulu, netflix"
Dog Soldiers,6.8,65667,"Action, Horror, Thriller",79%,81%,42 Reviews,"50,000+ Ratings","vudu, amazon-prime-video-us, hulu"
Resident Evil,6.6,288580,"Action, Horror, Sci-Fi",67%,36%,132 Reviews,"250,000+ Ratings","fandango, vudu, amazon-prime-video-us, netflix"
The Texas Chainsaw Massacre,6.2,152430,Horror,Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
A Serbian Film,5,71745,"Horror, Mystery, Thriller",43%,45%,31 Reviews,"5,000+ Ratings",vudu
Priest,5.7,124167,"Action, Fantasy, Horror, Sci-Fi, Thriller",46%,15%,100 Reviews,"50,000+ Ratings","vudu, amazon-prime-video-us"
The Purge: Election Year,6,110113,"Action, Horror, Sci-Fi, Thriller",48%,55%,164 Reviews,"25,000+ Ratings","vudu, amazon-prime-video-us, netflix"
Possession,7.3,42913,"Drama, Horror",58%,63%,156 Reviews,"5,000+ Ratings","fandango, vudu, amazon-prime-video-us"
V/H/S/94,5.5,12951,"Horror, Mystery, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Fresh,6.7,74271,"Horror, Thriller",91%,88%,41 Reviews,"5,000+ Ratings","vudu, amazon-prime-video-us"
Hell Fest,5.5,19437,"Horror, Thriller",41%,39%,66 Reviews,500+ Ratings,"vudu, amazon-prime-video-us"
The Witch,7,301159,"Drama, Fantasy, Horror, Mystery, Thriller",,,Reviews,,
Winnie-the-Pooh: Blood and Honey 2,5.4,2170,"Horror, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Jeepers Creepers III,3.9,24368,Horror,29%,17%,6 Reviews,"2,500+ Ratings","vudu, amazon-prime-video-us"
The Eden Theory,3.3,189,"Horror, Sci-Fi, Thriller",,,Reviews,,amazon-prime-video-us
The Eden Theory,3.3,189,"Horror, Sci-Fi, Thriller",,,Reviews,,amazon-prime-video-us
Final Destination 3,5.8,153791,"Horror, Thriller",57%,43%,116 Reviews,"250,000+ Ratings","vudu, amazon-prime-video-us"
Friday the 13th: Part 3,5.6,60442,"Horror, Thriller",42%,7%,27 Reviews,"50,000+ Ratings","vudu, amazon-prime-video-us, max-us"
Jeepers Creepers,6.2,142626,"Horror, Mystery",49%,45%,115 Reviews,"250,000+ Ratings",vudu
The Exorcism,,,"Horror, Thriller",87%,78%,176 Reviews,"250,000+ Ratings","fandango, vudu, amazon-prime-video-us"
In Search of Voodoo: Roots to Heaven,8.8,69,Documentary,,,Reviews,,
Stonehearst Asylum,6.8,60389,"Drama, Horror, Mystery, Romance, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
The Texas Chainsaw Massacre: The Beginning,5.8,77302,Horror,53%,15%,87 Reviews,"250,000+ Ratings","vudu, amazon-prime-video-us"
The Frighteners,7.1,95538,"Comedy, Fantasy, Horror",71%,67%,43 Reviews,"50,000+ Ratings","vudu, amazon-prime-video-us"
Underwater,5.9,97237,"Action, Horror, Sci-Fi, Thriller",14%,,Reviews,Fewer than 50 Ratings,
Goosebumps,6.7,10724,"Action, Adventure, Comedy, Drama, Fantasy, Horror, Mystery, Sci-Fi, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
The Cabin in the Woods,7,450950,"Horror, Mystery, Thriller",74%,92%,294 Reviews,"100,000+ Ratings","fandango, peacock, vudu, amazon-prime-video-us, hulu"
Saw VI,6,125287,"Horror, Mystery, Thriller",48%,39%,75 Reviews,"250,000+ Ratings","vudu, amazon-prime-video-us"
Saw IV,5.9,164878,"Horror, Mystery, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Doctor Sleep,7.3,218616,"Drama, Fantasy, Horror, Thriller",89%,78%,337 Reviews,"5,000+ Verified Ratings","vudu, amazon-prime-video-us"
The Animal Kingdom,6.7,6510,"Adventure, Drama, Horror, Mystery, Sci-Fi",86%,82%,55 Reviews,Fewer than 50 Ratings,
The Remaining,4.3,8612,"Drama, Horror, Mystery, Sci-Fi, Thriller",37%,60%,10 Reviews,"2,500+ Ratings","vudu, amazon-prime-video-us"
The Final Destination,5.1,115130,"Horror, Thriller",35%,27%,99 Reviews,"250,000+ Ratings","fandango, vudu, amazon-prime-video-us"
Hansel & Gretel: Witch Hunters,6.1,216786,"Action, Fantasy, Horror",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Lifeforce,6.1,29489,"Action, Horror, Mystery, Romance, Sci-Fi, Thriller",46%,56%,32 Reviews,"5,000+ Ratings","fandango, vudu, amazon-prime-video-us"
Annabelle,5.4,175354,"Horror, Mystery, Thriller",35%,28%,137 Reviews,"50,000+ Ratings","vudu, amazon-prime-video-us, netflix"
Dampyr,5.4,1924,"Fantasy, Horror",56%,,Reviews,Fewer than 50 Ratings,"vudu, amazon-prime-video-us, netflix"
The Kindred,5.6,2506,"Horror, Sci-Fi, Thriller",36%,67%,15 Reviews,Fewer than 50 Ratings,"vudu, amazon-prime-video-us"
Event Horizon,6.6,197273,"Horror, Sci-Fi, Thriller",61%,34%,91 Reviews,"50,000+ Ratings","vudu, amazon-prime-video-us, paramount-plus-us"
Episode 69 - Emanuelle and the Last Cannibals,,,,Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Final Destination 5,5.9,125050,"Horror, Thriller",53%,63%,136 Reviews,"50,000+ Ratings","vudu, amazon-prime-video-us"
The Human Centipede 2 (Full Sequence),3.8,42978,Horror,Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Bram Stoker's Dracula,7.4,238553,"Fantasy, Horror, Romance",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Haunted Mansion,6,42829,"Comedy, Drama, Family, Fantasy, Horror, Mystery",31%,13%,142 Reviews,"100,000+ Ratings","vudu, amazon-prime-video-us, disney-plus-us"
Halloween II,6.5,101747,Horror,63%,33%,48 Reviews,"50,000+ Ratings","vudu, amazon-prime-video-us"
"Godzilla, Mothra and King Ghidorah: Giant Monsters All-Out Attack",7,6999,"Action, Adventure, Drama, Fantasy, Horror, Sci-Fi, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Leatherface,5,27863,"Crime, Horror, Thriller",50%,,Reviews,Fewer than 50 Ratings,"vudu, amazon-prime-video-us"
Hell House LLC,6.4,24826,"Horror, Mystery",72%,73%,11 Reviews,500+ Ratings,"vudu, amazon-prime-video-us"
Friday the 13th,6.4,157522,"Horror, Mystery, Thriller",47%,,Reviews,50+ Ratings,
Jennifer's Body,5.5,151380,"Comedy, Horror",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Sinister,6.8,280400,"Horror, Mystery, Thriller",36%,,Reviews,Fewer than 50 Ratings,amazon-prime-video-us
Werewolf by Night,7.1,70434,"Action, Adventure, Drama, Fantasy, Horror, Mystery, Thriller",88%,89%,114 Reviews,"2,500+ Ratings",disney-plus-us
Ogre,3.8,2246,"Fantasy, Horror, Sci-Fi",,,Reviews,,amazon-prime-video-us
Texas Chainsaw Massacre,4.7,61653,"Crime, Horror, Thriller",58%,37%,159 Reviews,"250,000+ Ratings","vudu, amazon-prime-video-us"
Poltergeist,7.3,179667,"Horror, Thriller",79%,88%,76 Reviews,"100,000+ Ratings","fandango, vudu, amazon-prime-video-us"
47 Meters Down: Uncaged,5,30792,"Adventure, Drama, Horror, Thriller",68%,44%,88 Reviews,"1,000+ Verified Ratings","vudu, amazon-prime-video-us, netflix"
Host,6.5,39511,"Horror, Mystery",72%,93%,156 Reviews,"100,000+ Ratings","fandango, peacock, vudu, amazon-prime-video-us, hulu"
The skin I live in,6.6,6,Short,84%,81%,179 Reviews,"25,000+ Ratings","fandango, vudu, amazon-prime-video-us"
Christine,6.8,92499,"Horror, Thriller",64%,70%,37 Reviews,"50,000+ Ratings","vudu, amazon-prime-video-us"
Resident Evil: Damnation,6.4,22432,"Animation, Action, Horror, Sci-Fi, Thriller",70%,100%,5 Reviews,"1,000+ Ratings","vudu, amazon-prime-video-us"
Day Shift,6.1,90068,"Action, Comedy, Fantasy, Horror, Thriller",76%,56%,137 Reviews,"2,500+ Ratings",netflix
Krampus,6.2,84098,"Comedy, Fantasy, Horror",52%,66%,131 Reviews,"10,000+ Ratings","vudu, amazon-prime-video-us"
Sleepy Hollow,7.3,64237,"Action, Adventure, Crime, Drama, Fantasy, Horror, Mystery, Thriller",80%,70%,129 Reviews,"250,000+ Ratings","vudu, amazon-prime-video-us, paramount-plus-us"
Stepfather 3,4.7,2067,"Horror, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Curse of Chucky,5.6,43611,"Horror, Thriller",61%,79%,19 Reviews,"5,000+ Ratings","vudu, amazon-prime-video-us"
An American Werewolf in London,7.5,120589,"Comedy, Horror",85%,89%,65 Reviews,"100,000+ Ratings","fandango, vudu, amazon-prime-video-us"
Renfield,6.4,95745,"Action, Comedy, Fantasy, Horror",79%,58%,300 Reviews,"1,000+ Verified Ratings","vudu, amazon-prime-video-us"
Project 'Gemini',3.5,3816,"Adventure, Sci-Fi, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Carousel,6.6,6803,"Drama, Fantasy, Musical",61%,71%,7 Reviews,"5,000+ Ratings","vudu, amazon-prime-video-us"
Final Destination 2,6.2,182075,"Horror, Thriller",58%,50%,111 Reviews,"250,000+ Ratings","vudu, amazon-prime-video-us"
Goodnight Mommy,5.7,14894,"Crime, Drama, Horror, Mystery, Thriller",66%,85%,147 Reviews,"10,000+ Ratings","fandango, vudu, amazon-prime-video-us"
Drag Me to Hell,6.6,217570,Horror,62%,92%,270 Reviews,"250,000+ Ratings","vudu, amazon-prime-video-us"
Piranha 3D,5.5,96723,"Comedy, Horror",45%,74%,133 Reviews,"50,000+ Ratings",
Godzilla x Kong: The New Empire,6.5,41209,"Action, Adventure, Sci-Fi, Thriller",91%,54%,229 Reviews,"2,500+ Verified Ratings","fandango, vudu"
28 Weeks Later,6.9,293967,"Horror, Sci-Fi",66%,72%,199 Reviews,"250,000+ Ratings","vudu, amazon-prime-video-us, hulu"
Carrie,7.4,206780,"Horror, Mystery",44%,50%,185 Reviews,"50,000+ Ratings","vudu, amazon-prime-video-us, max-us"
Häxan,7.6,16737,"Documentary, Fantasy, Horror",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Friday the 13th: The New Blood,5.2,42381,"Horror, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Oculus,6.5,139789,"Horror, Mystery, Thriller",53%,75%,157 Reviews,"25,000+ Ratings","vudu, amazon-prime-video-us"
The Accursed,4.2,1339,Horror,Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Triangle,6.9,129900,"Fantasy, Mystery, Sci-Fi, Thriller",,,Reviews,,
The Host,7.1,132805,"Drama, Horror, Sci-Fi",50%,10%,133 Reviews,"50,000+ Ratings","vudu, amazon-prime-video-us"
